1.000	1.000	84.815	0.573
1.000	1.000	84.850	0.568
1.000	1.000	84.885	0.559
1.000	1.000	84.920	0.559
1.000	1.000	84.957	0.554
1.000	1.000	84.992	0.554
1.000	1.000	85.026	0.554
1.000	1.000	85.060	0.564
1.000	1.000	85.097	0.568
1.000	1.000	85.134	0.578
1.000	1.000	85.170	0.603
1.000	1.000	85.207	0.608
1.000	1.000	85.249	0.612
1.000	1.000	85.283	0.612
1.000	1.000	85.318	0.622
1.000	1.000	85.357	0.608
1.000	1.000	85.392	0.608
1.000	1.000	85.430	0.603
1.000	1.000	85.467	0.603
1.000	1.000	85.511	0.612
1.000	1.000	85.546	0.612
1.000	1.000	85.584	0.612
1.000	1.000	85.618	0.622
1.000	1.000	85.653	0.622
1.000	1.000	85.689	0.622
1.000	1.000	85.728	0.627
1.000	1.000	85.766	0.617
1.000	1.000	85.802	0.627
1.000	1.000	85.843	0.632
1.000	1.000	85.882	0.612
1.000	1.000	85.930	0.598
1.000	1.000	85.981	0.603
1.000	1.000	86.030	0.583
1.000	1.000	86.066	0.578
1.000	1.000	86.100	0.578
1.000	1.000	86.144	0.568
1.000	1.000	86.179	0.559
1.000	1.000	86.216	0.559
1.000	1.000	86.261	0.549
1.000	1.000	86.293	0.549
1.000	1.000	86.329	0.539
1.000	1.000	86.364	0.539
1.000	1.000	86.397	0.529
1.000	1.000	86.430	0.524
1.000	1.000	86.471	0.510
1.000	1.000	86.510	0.480
1.000	1.000	86.544	0.475
1.000	1.000	86.588	0.456
1.000	1.000	86.629	0.436
1.000	1.000	86.664	0.436
1.000	1.000	86.700	0.431
1.000	1.000	86.782	0.431
1.000	1.000	86.814	0.436
1.000	1.000	86.855	0.436
1.000	1.000	86.893	0.431
1.000	1.000	86.925	0.426
1.000	1.000	86.960	0.426
1.000	1.000	86.995	0.416
1.000	1.000	87.027	0.412
1.000	1.000	87.061	0.412
1.000	1.000	87.100	0.397
1.000	1.000	87.137	0.392
1.000	1.000	87.170	0.392
1.000	1.000	87.205	0.392
1.000	1.000	87.246	0.397
1.000	1.000	87.289	0.397
1.000	1.000	87.330	0.397
1.000	1.000	87.363	0.392
1.000	1.000	87.397	0.392
1.000	1.000	87.440	0.387
1.000	1.000	87.473	0.387
1.000	1.000	87.508	0.387
1.000	1.000	87.543	0.387
1.000	1.000	87.587	0.382
1.000	1.000	87.620	0.382
1.000	1.000	87.659	0.382
1.000	1.000	87.703	0.382
1.000	1.000	87.738	0.377
1.000	1.000	87.778	0.382
1.000	1.000	87.819	0.387
1.000	1.000	87.851	0.387
1.000	1.000	87.887	0.387
1.000	1.000	87.919	0.387
1.000	1.000	87.953	0.387
1.000	1.000	87.988	0.387
1.000	1.000	88.028	0.387
1.000	1.000	88.064	0.397
1.000	1.000	88.097	0.407
1.000	1.000	88.137	0.416
1.000	1.000	88.172	0.421
1.000	1.000	88.209	0.426
1.000	1.000	88.243	0.431
1.000	1.000	88.291	0.436
1.000	1.000	88.338	0.446
1.000	1.000	88.372	0.451
1.000	1.000	88.416	0.470
1.000	1.000	88.449	0.480
1.000	1.000	88.485	0.500
1.000	1.000	88.522	0.529
1.000	1.000	88.556	0.544
1.000	1.000	88.590	0.564
1.000	1.000	88.626	0.564
1.000	1.000	88.662	0.583
1.000	1.000	88.708	0.603
1.000	1.000	88.745	0.612
1.000	1.000	88.789	0.622
1.000	1.000	88.833	0.642
1.000	1.000	88.871	0.657
1.000	1.000	88.910	0.657
1.000	1.000	88.944	0.657
1.000	1.000	88.980	0.652
1.000	1.000	89.018	0.647
1.000	1.000	89.054	0.642
1.000	1.000	89.137	0.598
1.000	1.000	89.173	0.588
1.000	1.000	89.210	0.573
1.000	1.000	89.249	0.554
1.000	1.000	89.287	0.529
1.000	1.000	89.328	0.514
1.000	1.000	89.366	0.495
1.000	1.000	89.403	0.480
1.000	1.000	89.443	0.461
1.000	1.000	89.477	0.446
1.000	1.000	89.512	0.426
1.000	1.000	89.548	0.416
1.000	1.000	89.586	0.412
1.000	1.000	89.621	0.407
1.000	1.000	89.658	0.402
1.000	1.000	89.690	0.397
1.000	1.000	89.725	0.392
1.000	1.000	89.761	0.377
1.000	1.000	89.798	0.372
1.000	1.000	89.834	0.372
1.000	1.000	89.867	0.367
1.000	1.000	89.906	0.363
1.000	1.000	89.943	0.338
1.000	1.000	89.981	0.328
1.000	1.000	90.021	0.323
1.000	1.000	90.056	0.328
1.000	1.000	90.105	0.333
1.000	1.000	90.144	0.328
1.000	1.000	90.179	0.333
1.000	1.000	90.216	0.338
1.000	1.000	90.253	0.328
1.000	1.000	90.288	0.333
1.000	1.000	90.323	0.333
1.000	1.000	90.359	0.343
1.000	1.000	90.397	0.348
1.000	1.000	90.437	0.358
1.000	1.000	90.479	0.358
1.000	1.000	90.515	0.358
1.000	1.000	90.550	0.367
1.000	1.000	90.591	0.367
1.000	1.000	90.629	0.372
1.000	1.000	90.666	0.377
1.000	1.000	90.702	0.377
1.000	1.000	90.735	0.382
1.000	1.000	90.770	0.382
1.000	1.000	90.810	0.397
1.000	1.000	90.846	0.407
1.000	1.000	90.883	0.416
1.000	1.000	90.920	0.416
1.000	1.000	90.956	0.421
1.000	1.000	90.994	0.421
1.000	1.000	91.031	0.436
1.000	1.000	91.069	0.446
1.000	1.000	91.109	0.456
1.000	1.000	91.145	0.470
1.000	1.000	91.184	0.480
1.000	1.000	91.220	0.475
1.000	1.000	91.260	0.475
1.000	1.000	91.293	0.470
1.000	1.000	91.326	0.470
1.000	1.000	91.362	0.465
1.000	1.000	91.401	0.461
1.000	1.000	91.446	0.446
1.000	1.000	91.507	0.426
1.000	1.000	91.551	0.421
1.000	1.000	91.592	0.402
1.000	1.000	91.644	0.387
1.000	1.000	91.680	0.387
1.000	1.000	91.721	0.382
1.000	1.000	91.764	0.372
1.000	1.000	91.809	0.372
1.000	1.000	91.852	0.358
1.000	1.000	91.885	0.367
1.000	1.000	91.918	0.358
1.000	1.000	91.954	0.358
1.000	1.000	91.990	0.353
1.000	1.000	92.028	0.353
1.000	1.000	92.046	0.343
1.000	1.000	92.074	0.338
0.000	1.000	92.126	0.304
0.000	1.000	92.175	0.284
0.000	1.000	92.181	0.284
0.000	1.000	92.198	0.294
0.000	1.000	92.214	0.299
0.000	1.000	92.229	0.299
0.000	1.000	92.247	0.299
0.000	1.000	92.264	0.304
0.000	1.000	92.278	0.309
1.000	1.000	92.298	0.314
1.000	1.000	92.311	0.314
1.000	1.000	92.339	0.319
1.000	1.000	92.357	0.323
1.000	1.000	92.404	0.314
0.000	1.000	92.439	0.304
0.000	1.000	92.479	0.304
0.000	1.000	92.483	0.304
0.000	1.000	92.500	0.304
0.000	1.000	92.518	0.299
0.000	1.000	92.533	0.299
0.000	1.000	92.550	0.294
0.000	1.000	92.568	0.294
0.000	1.000	92.583	0.294
0.000	1.000	92.600	0.284
0.000	1.000	92.613	0.279
0.000	1.000	92.630	0.279
0.000	1.000	92.648	0.279
0.000	1.000	92.666	0.265
0.000	1.000	92.681	0.265
0.000	1.000	92.697	0.265
0.000	1.000	92.709	0.265
0.000	1.000	92.725	0.260
0.000	1.000	92.742	0.260
0.000	1.000	92.758	0.250
0.000	1.000	92.775	0.250
0.000	1.000	92.791	0.250
0.000	1.000	92.805	0.250
0.000	1.000	92.820	0.250
0.000	1.000	92.838	0.245
0.000	1.000	92.853	0.245
0.000	1.000	92.867	0.235
0.000	1.000	92.886	0.240
0.000	1.000	92.903	0.240
0.000	1.000	92.920	0.230
0.000	1.000	92.934	0.230
0.000	1.000	92.949	0.221
0.000	1.000	92.966	0.221
0.000	1.000	92.982	0.211
0.000	1.000	92.998	0.211
0.000	1.000	93.016	0.211
0.000	1.000	93.030	0.206
0.000	1.000	93.044	0.206
0.000	1.000	93.063	0.201
0.000	1.000	93.080	0.206
0.000	1.000	93.094	0.211
0.000	1.000	93.108	0.216
0.000	1.000	93.125	0.221
0.000	1.000	93.143	0.235
0.000	1.000	93.158	0.245
0.000	1.000	93.176	0.255
0.000	1.000	93.189	0.265
0.000	1.000	93.212	0.279
0.000	1.000	93.221	0.284
0.000	1.000	93.237	0.294
0.000	1.000	93.253	0.299
0.000	1.000	93.270	0.309
1.000	1.000	93.288	0.314
0.000	1.000	93.301	0.309
1.000	1.000	93.337	0.314
0.000	1.000	93.351	0.309
0.000	1.000	93.379	0.309
1.000	1.000	93.402	0.314
0.000	1.000	93.413	0.304
0.000	1.000	93.443	0.309
1.000	1.000	93.462	0.314
0.000	1.000	93.480	0.309
1.000	1.000	93.506	0.314
1.000	1.000	93.524	0.319
1.000	1.000	93.559	0.319
1.000	1.000	93.585	0.323
1.000	1.000	93.620	0.328
